epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.649,1.00036,3.81614,0.97938,0.33586,0.23537,0.14479,0.11273,0.96707,1.96906,0.97593,0.0033306,0.0033306,0.0033306
2,731.276,0.95546,2.47489,0.97655,0.56367,0.26593,0.25586,0.19904,0.9746,1.72881,0.99428,0.00659796,0.00659796,0.00659796
3,1082.1,0.99304,2.16238,1.00189,0.39695,0.27232,0.24056,0.18316,1.04375,1.89484,1.04488,0.00979932,0.00979932,0.00979932
4,1432.64,0.98676,1.7258,1.01714,0.42071,0.35635,0.33739,0.25872,1.00952,1.5242,1.02717,0.009703,0.009703,0.009703
5,1782.92,0.93858,1.36628,1.00745,0.56184,0.4766,0.44576,0.3424,0.95827,1.40914,1.02546,0.009604,0.009604,0.009604
6,2133.23,0.8952,1.2037,0.99998,0.63182,0.46552,0.49731,0.38461,0.92351,1.2041,1.02325,0.009505,0.009505,0.009505
7,2484.05,0.8792,1.10621,0.99413,0.60297,0.50206,0.5052,0.3966,0.88434,1.25403,1.01617,0.009406,0.009406,0.009406
8,2835.12,0.8555,1.03893,0.98788,0.65481,0.52333,0.55876,0.43507,0.86701,1.10801,1.0072,0.009307,0.009307,0.009307
9,3185.57,0.83912,0.97759,0.97979,0.6772,0.5934,0.62727,0.49157,0.871,0.94543,0.99984,0.009208,0.009208,0.009208
10,3536.23,0.8256,0.9324,0.97172,0.60482,0.58021,0.60223,0.47589,0.84823,0.9833,0.99214,0.009109,0.009109,0.009109
11,3886.64,0.81873,0.89141,0.97032,0.67942,0.62186,0.63723,0.49886,0.84299,1.02997,1.00618,0.00901,0.00901,0.00901
12,4237.48,0.80127,0.86445,0.96416,0.66794,0.64478,0.67469,0.52521,0.83101,0.84548,0.99923,0.008911,0.008911,0.008911
13,4588.74,0.79864,0.83082,0.95818,0.76069,0.64571,0.67753,0.53883,0.82402,0.79013,0.98684,0.008812,0.008812,0.008812
14,4941.41,0.79109,0.82145,0.95971,0.77476,0.6456,0.70727,0.56307,0.8219,0.76917,0.99514,0.008713,0.008713,0.008713
15,5294.97,0.78419,0.79613,0.95624,0.78019,0.64167,0.68876,0.54049,0.81051,0.76651,0.99363,0.008614,0.008614,0.008614
16,5648.45,0.7773,0.78249,0.95185,0.78913,0.63603,0.70352,0.5562,0.81536,0.75282,0.98577,0.008515,0.008515,0.008515
17,6002.75,0.76722,0.75601,0.94895,0.76051,0.66248,0.70762,0.56244,0.8022,0.73814,0.97646,0.008416,0.008416,0.008416
18,6357.5,0.75714,0.7336,0.94114,0.72116,0.7104,0.72888,0.57521,0.80159,0.68938,0.97667,0.008317,0.008317,0.008317
19,6712.45,0.75794,0.73707,0.94541,0.74119,0.70539,0.72635,0.57452,0.79201,0.70911,0.97429,0.008218,0.008218,0.008218
20,7067.59,0.74996,0.71413,0.94077,0.77636,0.67042,0.74464,0.59962,0.78485,0.68138,0.97032,0.008119,0.008119,0.008119
21,7423,0.75086,0.70626,0.93803,0.77985,0.70642,0.73301,0.58835,0.78936,0.70113,0.97041,0.00802,0.00802,0.00802
22,7778.43,0.74351,0.6964,0.9358,0.78291,0.72429,0.74493,0.59406,0.78012,0.66418,0.96769,0.007921,0.007921,0.007921
23,8133.14,0.73806,0.68616,0.93679,0.80308,0.71469,0.74985,0.59392,0.78013,0.64174,0.9654,0.007822,0.007822,0.007822
24,8487.92,0.73606,0.66889,0.93001,0.80905,0.73272,0.76439,0.60656,0.77173,0.61617,0.96117,0.007723,0.007723,0.007723
25,8841.75,0.72583,0.66263,0.92909,0.80942,0.72154,0.75234,0.59531,0.77189,0.63517,0.96863,0.007624,0.007624,0.007624
26,9195.39,0.72533,0.65911,0.93066,0.78676,0.72591,0.75357,0.60286,0.76817,0.6221,0.96032,0.007525,0.007525,0.007525
27,9548.88,0.72105,0.64478,0.92493,0.78018,0.7409,0.76606,0.60717,0.76425,0.60827,0.96015,0.007426,0.007426,0.007426
28,9902.27,0.72195,0.6441,0.9256,0.80697,0.72504,0.77148,0.61534,0.76824,0.60372,0.96329,0.007327,0.007327,0.007327
29,10255.6,0.71706,0.64096,0.92456,0.74483,0.77936,0.7738,0.61933,0.76316,0.59628,0.96149,0.007228,0.007228,0.007228
30,10609.1,0.70904,0.62757,0.92465,0.76157,0.76971,0.76673,0.61082,0.75988,0.59114,0.96172,0.007129,0.007129,0.007129
31,10962.4,0.71139,0.62292,0.92106,0.77918,0.75863,0.76548,0.61061,0.75857,0.58673,0.95442,0.00703,0.00703,0.00703
32,11315.5,0.71405,0.61002,0.92125,0.76752,0.76256,0.76969,0.61437,0.75945,0.57782,0.95565,0.006931,0.006931,0.006931
33,11668.5,0.70358,0.6079,0.91792,0.7521,0.77759,0.77415,0.6174,0.75416,0.57575,0.95379,0.006832,0.006832,0.006832
34,12021,0.70024,0.59977,0.91352,0.77185,0.7535,0.77148,0.61351,0.75091,0.57286,0.94928,0.006733,0.006733,0.006733
35,12374,0.70158,0.60131,0.91343,0.80025,0.73601,0.77545,0.61658,0.75143,0.56613,0.94904,0.006634,0.006634,0.006634
36,12727,0.69522,0.5904,0.91717,0.78467,0.74113,0.77888,0.62235,0.7511,0.56538,0.95033,0.006535,0.006535,0.006535
37,13080.2,0.6966,0.59102,0.91444,0.79921,0.75606,0.78966,0.63037,0.74915,0.56354,0.94893,0.006436,0.006436,0.006436
38,13433.6,0.69111,0.58034,0.91104,0.7505,0.778,0.79744,0.63768,0.7457,0.56496,0.94475,0.006337,0.006337,0.006337
39,13787,0.68979,0.57447,0.91017,0.79989,0.75512,0.79126,0.63593,0.74387,0.56215,0.94184,0.006238,0.006238,0.006238
40,14140.3,0.68323,0.56874,0.91044,0.80977,0.75612,0.78467,0.62897,0.74319,0.55719,0.94343,0.006139,0.006139,0.006139
41,14493.6,0.68479,0.56443,0.90566,0.76008,0.76654,0.78632,0.62512,0.74233,0.55397,0.94328,0.00604,0.00604,0.00604
42,14849.3,0.68075,0.56719,0.90463,0.78272,0.75562,0.79552,0.63736,0.74121,0.55702,0.94314,0.005941,0.005941,0.005941
43,15201.6,0.67419,0.56089,0.90339,0.77928,0.76401,0.79004,0.63408,0.73999,0.55466,0.94208,0.005842,0.005842,0.005842
44,15552.6,0.68061,0.55887,0.90237,0.77896,0.76655,0.80045,0.63951,0.73925,0.55122,0.94072,0.005743,0.005743,0.005743
45,15903.4,0.66846,0.54993,0.90124,0.76347,0.78552,0.78796,0.62646,0.73842,0.54646,0.94018,0.005644,0.005644,0.005644
46,16255.6,0.67098,0.54682,0.9019,0.77041,0.78824,0.79416,0.63174,0.73636,0.54184,0.93868,0.005545,0.005545,0.005545
47,16604.9,0.67085,0.54146,0.90109,0.7695,0.79224,0.79293,0.63264,0.73585,0.54124,0.93846,0.005446,0.005446,0.005446
48,16953.4,0.66417,0.53584,0.89889,0.76576,0.79773,0.79271,0.63458,0.73505,0.53885,0.93794,0.005347,0.005347,0.005347
49,17302.1,0.66435,0.5311,0.89531,0.77034,0.79044,0.79365,0.63342,0.73395,0.53589,0.93691,0.005248,0.005248,0.005248
50,17650.6,0.66294,0.52781,0.89588,0.77425,0.7871,0.78976,0.6311,0.73335,0.536,0.93625,0.005149,0.005149,0.005149
