epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.233,0.63605,1.47028,0.87913,0.40811,0.624,0.4565,0.37915,0.58607,1.0968,0.84573,0.0033308,0.0033308,0.0033308
2,381.69,0.64864,1.06409,0.88674,0.41586,0.64911,0.49956,0.40849,0.60108,1.02091,0.85759,0.00663115,0.00663115,0.00663115
3,560.727,0.67628,1.03884,0.89442,0.41778,0.67603,0.50577,0.40954,0.62701,1.01178,0.86665,0.0098985,0.0098985,0.0098985
4,739.875,0.69463,1.03198,0.89362,0.42231,0.67882,0.51429,0.41648,0.62122,0.97174,0.86176,0.0098515,0.0098515,0.0098515
5,918.815,0.67985,0.9954,0.88381,0.44162,0.68433,0.53605,0.43807,0.60937,0.94385,0.85041,0.009802,0.009802,0.009802
6,1096.66,0.67735,0.97908,0.88191,0.40629,0.72592,0.55255,0.44904,0.60923,0.91774,0.85225,0.0097525,0.0097525,0.0097525
7,1275.91,0.67424,0.95561,0.88172,0.42628,0.71959,0.54022,0.43788,0.6048,0.93489,0.85308,0.009703,0.009703,0.009703
8,1454.9,0.66914,0.94594,0.88005,0.43613,0.70345,0.56068,0.45547,0.59563,0.89115,0.84958,0.0096535,0.0096535,0.0096535
9,1633.06,0.66356,0.93841,0.87673,0.44987,0.72411,0.55917,0.45757,0.5905,0.89054,0.84377,0.009604,0.009604,0.009604
10,1808.45,0.66167,0.92854,0.87527,0.44729,0.72646,0.57302,0.46844,0.58703,0.87153,0.84362,0.0095545,0.0095545,0.0095545
11,1987.28,0.65605,0.92341,0.87573,0.43725,0.73123,0.56063,0.45759,0.58996,0.88467,0.8422,0.009505,0.009505,0.009505
12,2166.7,0.65752,0.92116,0.87402,0.42707,0.7621,0.56639,0.46473,0.58666,0.86849,0.84352,0.0094555,0.0094555,0.0094555
13,2344.7,0.65073,0.91165,0.87374,0.42831,0.76996,0.5677,0.46722,0.5795,0.86338,0.8429,0.009406,0.009406,0.009406
14,2523.45,0.65352,0.91008,0.87248,0.44386,0.74452,0.57282,0.47208,0.57946,0.85401,0.84105,0.0093565,0.0093565,0.0093565
15,2704.06,0.6469,0.90164,0.87228,0.42711,0.76495,0.57468,0.47408,0.57669,0.85348,0.83988,0.009307,0.009307,0.009307
16,2875.57,0.64497,0.90298,0.86963,0.44421,0.73958,0.57896,0.47798,0.57426,0.84606,0.84048,0.0092575,0.0092575,0.0092575
17,3049.05,0.64407,0.89524,0.86919,0.45145,0.75479,0.58777,0.48492,0.5712,0.83817,0.83772,0.009208,0.009208,0.009208
18,3227.52,0.64638,0.89429,0.87045,0.44612,0.75692,0.58306,0.4813,0.56962,0.83686,0.83735,0.0091585,0.0091585,0.0091585
19,3399.88,0.64359,0.89223,0.86906,0.45358,0.75534,0.59011,0.4844,0.56742,0.8298,0.83838,0.009109,0.009109,0.009109
20,3569.92,0.63997,0.89304,0.86807,0.44193,0.76423,0.58777,0.48558,0.56302,0.82223,0.83563,0.0090595,0.0090595,0.0090595
21,3745.03,0.638,0.88335,0.86948,0.46307,0.74725,0.5917,0.48838,0.56207,0.81879,0.83643,0.00901,0.00901,0.00901
22,3923.82,0.63828,0.88996,0.86822,0.45725,0.76365,0.59689,0.49358,0.56205,0.81296,0.83704,0.0089605,0.0089605,0.0089605
23,4103.58,0.63559,0.88489,0.86637,0.45194,0.76732,0.59515,0.49328,0.55886,0.81222,0.83488,0.008911,0.008911,0.008911
24,4283.1,0.63991,0.8858,0.86659,0.44663,0.78219,0.59689,0.49175,0.55916,0.80882,0.8362,0.0088615,0.0088615,0.0088615
25,4463.31,0.63563,0.87958,0.86703,0.44643,0.7694,0.59665,0.49336,0.55684,0.80597,0.83506,0.008812,0.008812,0.008812
26,4643.43,0.63631,0.87472,0.86779,0.44509,0.78721,0.59826,0.49537,0.55606,0.80611,0.83506,0.0087625,0.0087625,0.0087625
27,4821.99,0.62952,0.87463,0.86433,0.45588,0.76267,0.59975,0.49594,0.5533,0.80204,0.83423,0.008713,0.008713,0.008713
28,5001.56,0.63185,0.87083,0.86736,0.44272,0.78006,0.60075,0.49633,0.55372,0.79964,0.83322,0.0086635,0.0086635,0.0086635
29,5183.34,0.63207,0.8772,0.86509,0.45675,0.77144,0.60375,0.49838,0.55087,0.7943,0.83295,0.008614,0.008614,0.008614
30,5366.36,0.63374,0.87478,0.86575,0.45732,0.76339,0.60359,0.50026,0.54981,0.7926,0.83256,0.0085645,0.0085645,0.0085645
31,5546.07,0.63061,0.86918,0.8638,0.46284,0.75737,0.60408,0.5008,0.54935,0.79214,0.83271,0.008515,0.008515,0.008515
32,5723.73,0.63231,0.86449,0.86575,0.45842,0.76605,0.60272,0.49931,0.5483,0.79147,0.83271,0.0084655,0.0084655,0.0084655
33,5906.29,0.62797,0.87392,0.86475,0.45364,0.77452,0.60595,0.50099,0.54783,0.78974,0.83211,0.008416,0.008416,0.008416
34,6085.37,0.62598,0.86566,0.86358,0.45416,0.78046,0.60562,0.50206,0.54693,0.78877,0.83178,0.0083665,0.0083665,0.0083665
35,6266.31,0.62696,0.86545,0.86637,0.45135,0.78292,0.605,0.50172,0.54621,0.78681,0.83163,0.008317,0.008317,0.008317
36,6445.31,0.62573,0.86362,0.86302,0.4502,0.77932,0.6035,0.50132,0.54475,0.78676,0.83101,0.0082675,0.0082675,0.0082675
37,6626.35,0.62526,0.85897,0.86365,0.45815,0.76697,0.60403,0.50259,0.54406,0.78643,0.83083,0.008218,0.008218,0.008218
38,183.82,0.62156,0.85579,0.86247,0.4525,0.7785,0.60368,0.50176,0.54386,0.7853,0.83073,0.0081685,0.0081685,0.0081685
39,364.248,0.62106,0.86389,0.86341,0.45702,0.77139,0.60503,0.50287,0.54312,0.78517,0.83064,0.008119,0.008119,0.008119
40,543.52,0.62072,0.86141,0.86303,0.45609,0.77017,0.60448,0.50223,0.54237,0.78414,0.83025,0.0080695,0.0080695,0.0080695
41,722.847,0.62522,0.86098,0.86234,0.45848,0.76477,0.60461,0.50259,0.54201,0.78431,0.82995,0.00802,0.00802,0.00802
42,901.548,0.62129,0.86129,0.86184,0.45747,0.77005,0.60539,0.50343,0.54191,0.78369,0.82977,0.0079705,0.0079705,0.0079705
43,185.927,0.60667,0.83521,0.85909,0.45633,0.77186,0.60491,0.50272,0.54199,0.78361,0.82998,0.007921,0.007921,0.007921
44,365.815,0.61096,0.85037,0.86051,0.45734,0.76878,0.60615,0.50355,0.54197,0.7837,0.83019,0.0078715,0.0078715,0.0078715
45,545.394,0.61325,0.85179,0.86094,0.45827,0.76609,0.60568,0.50345,0.54159,0.78317,0.83003,0.007822,0.007822,0.007822
46,724.254,0.62109,0.85486,0.86057,0.45672,0.77027,0.60553,0.50284,0.54184,0.78314,0.82991,0.0077725,0.0077725,0.0077725
