epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,424.351,0.85176,2.70808,0.98069,0.38947,0.44121,0.32445,0.25738,0.72118,1.68824,0.92726,0.00333027,0.00333027,0.00333027
2,844.52,0.8058,1.29309,0.95487,0.60913,0.51265,0.56377,0.44342,0.76081,1.13469,0.95398,0.00660863,0.00660863,0.00660863
3,1262.3,0.83883,1.17553,0.96903,0.59163,0.46464,0.5121,0.39158,0.7743,1.33124,0.97091,0.00983199,0.00983199,0.00983199
4,1678.58,0.85689,1.15143,0.97692,0.57523,0.60883,0.58837,0.4626,0.75952,1.3616,0.98472,0.0097525,0.0097525,0.0097525
5,2095.08,0.81379,0.98741,0.95853,0.68865,0.67277,0.67845,0.53285,0.726,0.9687,0.95839,0.00967,0.00967,0.00967
6,2511.57,0.78179,0.90764,0.94826,0.60001,0.65879,0.66356,0.51266,0.70469,0.96218,0.95448,0.0095875,0.0095875,0.0095875
7,2928.07,0.75517,0.84297,0.93879,0.70232,0.69905,0.74093,0.58734,0.70236,0.88327,0.95137,0.009505,0.009505,0.009505
8,3344.5,0.73768,0.79389,0.93178,0.71523,0.68595,0.75269,0.60184,0.66772,0.80071,0.92633,0.0094225,0.0094225,0.0094225
9,3760.8,0.72295,0.75084,0.92394,0.74598,0.74708,0.77591,0.61755,0.66564,0.76724,0.93672,0.00934,0.00934,0.00934
10,4177.25,0.71051,0.72392,0.92127,0.70178,0.74183,0.7747,0.61542,0.68108,0.79553,0.94369,0.0092575,0.0092575,0.0092575
11,4594.24,0.69874,0.69278,0.91556,0.69579,0.79136,0.78372,0.62624,0.65937,0.75192,0.91886,0.009175,0.009175,0.009175
12,5011.59,0.68459,0.6743,0.90806,0.77425,0.74188,0.79744,0.63003,0.66482,0.80664,0.93254,0.0090925,0.0090925,0.0090925
13,5429.06,0.67058,0.65028,0.9048,0.75997,0.7991,0.80132,0.63751,0.65109,0.64836,0.92953,0.00901,0.00901,0.00901
14,5846.56,0.66659,0.63071,0.9036,0.78066,0.72716,0.79211,0.63728,0.63682,0.68152,0.91231,0.0089275,0.0089275,0.0089275
15,6264.2,0.65991,0.61973,0.90235,0.7842,0.77281,0.81492,0.6571,0.64156,0.67604,0.92011,0.008845,0.008845,0.008845
16,6682.15,0.64946,0.60049,0.89646,0.71605,0.83042,0.82162,0.66823,0.63543,0.66047,0.91579,0.0087625,0.0087625,0.0087625
17,7100.15,0.64405,0.59564,0.89559,0.78792,0.80481,0.82598,0.66618,0.6304,0.62211,0.91225,0.00868,0.00868,0.00868
18,7518.08,0.64217,0.57852,0.8942,0.77662,0.82066,0.83674,0.67804,0.62607,0.61065,0.91068,0.0085975,0.0085975,0.0085975
19,7936.41,0.63334,0.5755,0.89159,0.81168,0.78379,0.84686,0.68883,0.62595,0.58636,0.9061,0.008515,0.008515,0.008515
20,8354.6,0.63536,0.56516,0.89275,0.77999,0.78753,0.82439,0.67328,0.62542,0.59544,0.90996,0.0084325,0.0084325,0.0084325
21,8772.8,0.62728,0.55502,0.8909,0.79397,0.80384,0.848,0.68632,0.62377,0.60461,0.91147,0.00835,0.00835,0.00835
22,9191.16,0.61956,0.54326,0.88703,0.82148,0.80887,0.86113,0.69699,0.6238,0.56457,0.90716,0.0082675,0.0082675,0.0082675
23,9609.24,0.6197,0.54206,0.88704,0.80813,0.83292,0.86376,0.7022,0.6138,0.5411,0.90473,0.008185,0.008185,0.008185
24,10027.4,0.60864,0.52855,0.88386,0.80492,0.8203,0.85566,0.69588,0.61893,0.55996,0.91578,0.0081025,0.0081025,0.0081025
25,10445.1,0.60918,0.53406,0.88367,0.8083,0.81325,0.85139,0.70413,0.60288,0.55639,0.89702,0.00802,0.00802,0.00802
26,10863.1,0.60529,0.52152,0.88042,0.82055,0.83693,0.87862,0.71539,0.60948,0.5257,0.89949,0.0079375,0.0079375,0.0079375
27,11281.4,0.59596,0.50717,0.87788,0.77508,0.86636,0.86019,0.7057,0.60006,0.52616,0.89863,0.007855,0.007855,0.007855
28,11699.7,0.59721,0.49493,0.87791,0.82363,0.8322,0.86476,0.71178,0.60255,0.51367,0.89704,0.0077725,0.0077725,0.0077725
29,12117.7,0.59233,0.49627,0.87796,0.79573,0.84448,0.85152,0.69194,0.59806,0.51367,0.89762,0.00769,0.00769,0.00769
