epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.084,0.94467,2.28146,0.96151,0.43429,0.56715,0.44738,0.35162,0.76015,1.32242,0.90152,0.00333063,0.00333063,0.00333063
2,426.387,0.90888,1.49064,0.93934,0.44863,0.5906,0.48362,0.3715,0.7732,1.1629,0.89081,0.00663098,0.00663098,0.00663098
3,610.079,0.91972,1.28481,0.94067,0.49576,0.60642,0.51656,0.39938,0.77296,1.10975,0.90214,0.00989833,0.00989833,0.00989833
4,791.658,0.90252,1.19251,0.94215,0.4602,0.63636,0.53022,0.41182,0.74357,1.01013,0.90079,0.0098515,0.0098515,0.0098515
5,976.406,0.85859,1.11054,0.92806,0.50816,0.6138,0.5456,0.43342,0.70687,0.9479,0.88322,0.009802,0.009802,0.009802
6,1158.9,0.83487,1.06782,0.91899,0.50708,0.63127,0.54393,0.43502,0.69741,0.93646,0.87866,0.0097525,0.0097525,0.0097525
7,1338.2,0.81991,1.03988,0.9132,0.51097,0.64645,0.56419,0.45068,0.67623,0.90597,0.87606,0.009703,0.009703,0.009703
8,1519.65,0.801,1.01222,0.90663,0.49721,0.65693,0.56735,0.45635,0.66647,0.8837,0.86951,0.0096535,0.0096535,0.0096535
9,1705.23,0.79139,0.99674,0.90292,0.51501,0.68284,0.58271,0.46803,0.6521,0.84897,0.86542,0.009604,0.009604,0.009604
10,1881.06,0.78136,0.9704,0.8982,0.51923,0.67821,0.58453,0.47616,0.64212,0.84985,0.86116,0.0095545,0.0095545,0.0095545
11,2057.98,0.77213,0.96936,0.89569,0.52483,0.65847,0.5873,0.47901,0.64098,0.84449,0.86125,0.009505,0.009505,0.009505
12,2227.39,0.76487,0.95394,0.89357,0.5132,0.68961,0.59155,0.48201,0.636,0.824,0.85816,0.0094555,0.0094555,0.0094555
13,2400.87,0.76326,0.9459,0.89193,0.51454,0.69002,0.60489,0.49449,0.62132,0.81063,0.8565,0.009406,0.009406,0.009406
14,2574.27,0.75271,0.93533,0.88805,0.52506,0.68398,0.59955,0.48928,0.62617,0.80537,0.8558,0.0093565,0.0093565,0.0093565
15,2745.53,0.75096,0.93038,0.88655,0.50755,0.71969,0.60426,0.49299,0.61805,0.80182,0.85394,0.009307,0.009307,0.009307
16,2919.48,0.74707,0.92383,0.88682,0.51366,0.71884,0.60665,0.49984,0.60759,0.78951,0.85022,0.0092575,0.0092575,0.0092575
17,3091.88,0.7386,0.9117,0.88321,0.51749,0.71078,0.60847,0.49741,0.60767,0.78344,0.8512,0.009208,0.009208,0.009208
18,3266.48,0.73829,0.91047,0.88318,0.52727,0.71842,0.61704,0.50752,0.6013,0.76895,0.84889,0.0091585,0.0091585,0.0091585
19,3435.91,0.73406,0.90313,0.88308,0.51279,0.73148,0.62075,0.50939,0.59496,0.76768,0.84675,0.009109,0.009109,0.009109
20,3607.49,0.72958,0.89793,0.8806,0.52341,0.71876,0.6194,0.51185,0.59298,0.763,0.84488,0.0090595,0.0090595,0.0090595
21,3780.36,0.7287,0.89526,0.87975,0.51823,0.73067,0.61854,0.50986,0.58832,0.76027,0.84447,0.00901,0.00901,0.00901
22,3950.8,0.72442,0.88767,0.88003,0.51835,0.71184,0.62139,0.50821,0.59036,0.76117,0.84377,0.0089605,0.0089605,0.0089605
23,4122.77,0.71925,0.88655,0.87659,0.51815,0.71805,0.62318,0.51537,0.58413,0.75857,0.84377,0.008911,0.008911,0.008911
24,4293.08,0.7164,0.87826,0.87648,0.51968,0.73412,0.63044,0.5213,0.57889,0.74618,0.84105,0.0088615,0.0088615,0.0088615
25,4465.35,0.71976,0.8806,0.87782,0.51861,0.72892,0.62567,0.51901,0.57776,0.74228,0.84006,0.008812,0.008812,0.008812
26,4637.34,0.71422,0.87413,0.87642,0.52408,0.72668,0.62739,0.51963,0.57323,0.74501,0.83782,0.0087625,0.0087625,0.0087625
27,4809.3,0.7087,0.87367,0.87318,0.52098,0.7246,0.62302,0.51725,0.57262,0.74317,0.83947,0.008713,0.008713,0.008713
28,4979.43,0.70794,0.8742,0.87279,0.52154,0.72097,0.62549,0.52127,0.56912,0.74402,0.83679,0.0086635,0.0086635,0.0086635
29,5150.95,0.70477,0.86277,0.87376,0.52305,0.73042,0.62771,0.52222,0.56596,0.7379,0.83672,0.008614,0.008614,0.008614
30,5337.95,0.7069,0.86735,0.87301,0.5193,0.74276,0.6291,0.5247,0.56481,0.73546,0.83436,0.0085645,0.0085645,0.0085645
31,5546.91,0.70467,0.86287,0.87121,0.52012,0.73155,0.63142,0.52613,0.56158,0.73339,0.83457,0.008515,0.008515,0.008515
32,5765.24,0.6998,0.85704,0.87169,0.51636,0.73794,0.63172,0.52706,0.55954,0.73114,0.83351,0.0084655,0.0084655,0.0084655
33,5944.49,0.69848,0.8601,0.87017,0.52481,0.73307,0.63429,0.52841,0.55544,0.72694,0.83217,0.008416,0.008416,0.008416
34,6136.82,0.69569,0.85623,0.86881,0.51974,0.73839,0.63121,0.52719,0.55437,0.72544,0.8313,0.0083665,0.0083665,0.0083665
35,6385.8,0.69705,0.85109,0.87111,0.51824,0.73605,0.63335,0.52825,0.5543,0.72313,0.83235,0.008317,0.008317,0.008317
36,6587.52,0.69075,0.84368,0.8684,0.52296,0.73968,0.63201,0.52858,0.55174,0.72295,0.83148,0.0082675,0.0082675,0.0082675
37,6759.3,0.69112,0.84672,0.86921,0.52578,0.74162,0.63169,0.52879,0.55153,0.72114,0.83108,0.008218,0.008218,0.008218
38,6931.82,0.69052,0.84426,0.86666,0.52402,0.73968,0.63464,0.52939,0.55091,0.71935,0.83112,0.0081685,0.0081685,0.0081685
39,7100.95,0.69364,0.84711,0.8671,0.52994,0.73754,0.63506,0.53062,0.54915,0.71868,0.83028,0.008119,0.008119,0.008119
40,7270.38,0.69003,0.84729,0.86699,0.52777,0.74048,0.63542,0.53179,0.54776,0.71619,0.82991,0.0080695,0.0080695,0.0080695
41,7444.53,0.68564,0.83827,0.86521,0.52547,0.74486,0.63612,0.53246,0.54664,0.71523,0.82921,0.00802,0.00802,0.00802
42,7614.04,0.6861,0.84341,0.86538,0.53056,0.7363,0.63645,0.53252,0.54522,0.71311,0.82855,0.0079705,0.0079705,0.0079705
43,7782.34,0.68393,0.83612,0.86581,0.52772,0.7435,0.63705,0.53351,0.54447,0.7118,0.82855,0.007921,0.007921,0.007921
44,7948.78,0.68035,0.83626,0.86416,0.5274,0.74411,0.63703,0.53476,0.54342,0.71046,0.82817,0.0078715,0.0078715,0.0078715
45,8113.38,0.68099,0.8392,0.86418,0.52745,0.74803,0.63745,0.53591,0.54156,0.70948,0.82775,0.007822,0.007822,0.007822
46,8279.53,0.67887,0.83298,0.86497,0.5246,0.74938,0.63702,0.5357,0.53975,0.70862,0.82737,0.0077725,0.0077725,0.0077725
47,8451.72,0.68383,0.83559,0.86609,0.52283,0.74708,0.63643,0.53553,0.53897,0.70917,0.82742,0.007723,0.007723,0.007723
48,8624.7,0.67807,0.83167,0.86311,0.52287,0.74474,0.63642,0.53594,0.5378,0.70986,0.82695,0.0076735,0.0076735,0.0076735
49,8796.27,0.67779,0.82753,0.86274,0.52167,0.74871,0.63715,0.53684,0.53721,0.71006,0.82684,0.007624,0.007624,0.007624
50,8969.52,0.6761,0.827,0.86348,0.52097,0.74944,0.63719,0.53762,0.53665,0.71004,0.82678,0.0075745,0.0075745,0.0075745
51,9143.85,0.67528,0.82819,0.86172,0.52051,0.74859,0.63673,0.53734,0.53645,0.70898,0.82663,0.007525,0.007525,0.007525
52,9316.09,0.67261,0.827,0.86204,0.51985,0.74874,0.6371,0.5382,0.53583,0.7083,0.82633,0.0074755,0.0074755,0.0074755
53,9486.74,0.67512,0.82493,0.86202,0.51978,0.74643,0.63668,0.53772,0.53535,0.70824,0.82624,0.007426,0.007426,0.007426
54,9659.46,0.67143,0.81722,0.86076,0.52061,0.74853,0.63654,0.53743,0.53448,0.70829,0.82602,0.0073765,0.0073765,0.0073765
55,9831.89,0.66824,0.82151,0.86146,0.52061,0.74754,0.63673,0.53747,0.53394,0.70743,0.82584,0.007327,0.007327,0.007327
56,10003.5,0.67274,0.82372,0.86183,0.51962,0.74677,0.63682,0.53807,0.53303,0.70717,0.82566,0.0072775,0.0072775,0.0072775
