epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.664,1.07475,0.7238,0.99571,0.91729,0.89452,0.93874,0.71092,1.06384,0.64814,1.03076,6.79205e-05,6.79205e-05,6.79205e-05
2,878.368,1.1074,0.75982,1.01287,0.89944,0.90224,0.93752,0.70093,1.08931,0.6996,1.04055,0.000129131,0.000129131,0.000129131
3,1299.77,1.14939,0.81485,1.03193,0.87664,0.89718,0.91813,0.6787,1.11328,0.74289,1.05996,0.000183549,0.000183549,0.000183549
4,1717.63,1.18185,0.83453,1.03945,0.9031,0.85576,0.92554,0.68646,1.10541,0.76567,1.05059,0.000173431,0.000173431,0.000173431
5,2134.68,1.16188,0.83366,1.02934,0.89047,0.8655,0.92925,0.68249,1.09507,0.76149,1.05335,0.000163241,0.000163241,0.000163241
6,2552.79,1.14291,0.80195,1.0217,0.88891,0.87826,0.92789,0.69243,1.0876,0.71395,1.04397,0.000153051,0.000153051,0.000153051
7,2974.66,1.14244,0.80563,1.02403,0.90655,0.87168,0.92262,0.69412,1.09014,0.70333,1.04012,0.000142861,0.000142861,0.000142861
8,3392.98,1.13446,0.78669,1.0207,0.82581,0.92136,0.93022,0.70343,1.08509,0.693,1.03911,0.000132671,0.000132671,0.000132671
9,3811.78,1.13358,0.78718,1.01721,0.90915,0.87383,0.93082,0.69705,1.08305,0.67036,1.03511,0.000122482,0.000122482,0.000122482
10,4231.82,1.11846,0.7712,1.01266,0.91094,0.89804,0.93907,0.70859,1.08647,0.67263,1.03796,0.000112292,0.000112292,0.000112292
11,4651.31,1.0613,0.66848,1.00718,0.9176,0.87934,0.94139,0.71121,1.0688,0.6498,1.03415,0.000102102,0.000102102,0.000102102
12,5068.83,1.04433,0.65602,0.99823,0.91907,0.88547,0.92479,0.70399,1.06461,0.64742,1.03175,9.19122e-05,9.19122e-05,9.19122e-05
13,5486.5,1.01795,0.63497,0.98344,0.9351,0.87822,0.94086,0.71954,1.05081,0.63477,1.02652,8.17224e-05,8.17224e-05,8.17224e-05
14,5903.86,1.0181,0.63292,0.97933,0.8943,0.92271,0.94407,0.72651,1.05102,0.63535,1.0254,7.15326e-05,7.15326e-05,7.15326e-05
15,6319.11,1.00601,0.62034,0.97797,0.92572,0.91597,0.94277,0.72483,1.04369,0.6234,1.02243,6.13428e-05,6.13428e-05,6.13428e-05
16,6732.76,0.98579,0.60461,0.97501,0.8896,0.92986,0.94397,0.72854,1.04159,0.61508,1.0223,5.1153e-05,5.1153e-05,5.1153e-05
17,7145.65,0.97613,0.59473,0.96707,0.93993,0.90069,0.94284,0.7307,1.03468,0.60923,1.02029,4.09632e-05,4.09632e-05,4.09632e-05
18,7557.93,0.97836,0.59213,0.96833,0.93547,0.91004,0.94358,0.73261,1.03114,0.61161,1.01892,3.07734e-05,3.07734e-05,3.07734e-05
19,7975.59,0.96225,0.58014,0.9649,0.93575,0.90937,0.94291,0.734,1.02132,0.60247,1.01323,2.05836e-05,2.05836e-05,2.05836e-05
20,8390.5,0.96129,0.57833,0.95502,0.9315,0.91702,0.94397,0.73443,1.01897,0.59987,1.01305,1.03938e-05,1.03938e-05,1.03938e-05
