epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,539.177,1.11409,0.79127,1.0312,0.88348,0.86658,0.91963,0.68676,1.12005,0.73012,1.05305,6.79602e-05,6.79602e-05,6.79602e-05
2,1036.13,1.18316,0.86615,1.05897,0.86623,0.85266,0.91386,0.67726,1.15892,0.80531,1.07469,0.00012923,0.00012923,0.00012923
3,1524.92,1.20654,0.9139,1.07328,0.83991,0.81073,0.88909,0.64515,1.14679,0.81565,1.07116,0.000183768,0.000183768,0.000183768
4,2011.78,1.23358,0.9281,1.08195,0.88746,0.80636,0.90235,0.65521,1.16154,0.8152,1.08076,0.000173706,0.000173706,0.000173706
5,2497.08,1.23198,0.92706,1.07171,0.8777,0.83962,0.90883,0.6655,1.14275,0.77763,1.06562,0.000163608,0.000163608,0.000163608
6,2982.78,1.20578,0.89676,1.06079,0.8811,0.84896,0.90266,0.65301,1.14283,0.77652,1.06352,0.00015351,0.00015351,0.00015351
7,3470.34,1.2182,0.89475,1.06696,0.90483,0.85405,0.9253,0.68908,1.12597,0.75571,1.05736,0.000143412,0.000143412,0.000143412
8,3958.65,1.19526,0.86286,1.05496,0.9047,0.86012,0.92504,0.68468,1.12509,0.77107,1.04951,0.000133314,0.000133314,0.000133314
9,4446.92,1.19093,0.87053,1.05206,0.89078,0.85835,0.92009,0.68598,1.11318,0.72982,1.0465,0.000123216,0.000123216,0.000123216
10,4933.21,1.15971,0.83397,1.04394,0.88958,0.86581,0.92894,0.69282,1.1075,0.73449,1.04666,0.000113118,0.000113118,0.000113118
11,5418.69,1.11223,0.72654,1.0377,0.92222,0.87221,0.93643,0.69626,1.10531,0.70342,1.048,0.00010302,0.00010302,0.00010302
12,5903.32,1.09322,0.70784,1.02634,0.91554,0.87623,0.93688,0.70751,1.08873,0.68404,1.04252,9.2922e-05,9.2922e-05,9.2922e-05
13,6387.52,1.06191,0.68759,1.01373,0.92118,0.89616,0.93749,0.70668,1.084,0.66843,1.03743,8.2824e-05,8.2824e-05,8.2824e-05
14,6872.53,1.05397,0.68152,1.00772,0.86449,0.92738,0.94316,0.71407,1.07889,0.66766,1.03549,7.2726e-05,7.2726e-05,7.2726e-05
15,7357.67,1.04827,0.65912,1.00532,0.89904,0.92176,0.94324,0.71752,1.06871,0.65257,1.02818,6.2628e-05,6.2628e-05,6.2628e-05
16,7843.79,1.02897,0.65189,0.99694,0.8686,0.92997,0.94197,0.7163,1.06909,0.65141,1.02686,5.253e-05,5.253e-05,5.253e-05
17,8330.05,1.01664,0.63697,0.99462,0.9386,0.88,0.94438,0.72119,1.05698,0.63853,1.02387,4.2432e-05,4.2432e-05,4.2432e-05
18,8815.34,1.01139,0.62481,0.99292,0.91864,0.89496,0.94517,0.72582,1.05758,0.63466,1.02182,3.2334e-05,3.2334e-05,3.2334e-05
19,9301,0.99966,0.61525,0.98899,0.90954,0.92152,0.94563,0.72798,1.05318,0.62654,1.02044,2.2236e-05,2.2236e-05,2.2236e-05
20,9787.2,0.99698,0.61318,0.97759,0.92223,0.91529,0.94599,0.73123,1.05116,0.62709,1.02129,1.2138e-05,1.2138e-05,1.2138e-05
