epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,529.915,0.91951,2.73396,0.97881,0.48906,0.35313,0.27465,0.21801,0.75652,2.26827,0.88842,0.00333257,0.00333257,0.00333257
2,1025.92,0.8853,1.58697,0.9581,0.48035,0.43953,0.40578,0.32014,0.76917,1.95011,0.89514,0.00662191,0.00662191,0.00662191
3,1517.85,0.94457,1.51608,0.98203,0.46214,0.45396,0.38778,0.30241,0.79849,1.90132,0.91684,0.00986724,0.00986724,0.00986724
4,2007.86,0.958,1.46982,1.00515,0.49231,0.52344,0.46042,0.35304,0.76887,1.54263,0.93293,0.009802,0.009802,0.009802
5,2497.56,0.90422,1.32142,0.98596,0.56991,0.50298,0.53284,0.42422,0.7425,1.46254,0.91725,0.009736,0.009736,0.009736
6,2987.25,0.87811,1.20657,0.98087,0.62179,0.55498,0.57899,0.45169,0.73092,1.45496,0.93352,0.00967,0.00967,0.00967
7,3477.13,0.85095,1.1003,0.96655,0.59104,0.62829,0.63997,0.50781,0.71321,1.28832,0.91049,0.009604,0.009604,0.009604
8,3967.11,0.81615,1.05219,0.95667,0.64393,0.58301,0.60959,0.4819,0.69439,1.33909,0.90107,0.009538,0.009538,0.009538
9,4456.89,0.80961,1.01348,0.95162,0.6857,0.63831,0.65678,0.51951,0.6861,1.19428,0.90507,0.009472,0.009472,0.009472
10,4947.53,0.793,0.96607,0.94539,0.57089,0.66971,0.67425,0.54326,0.68623,1.17325,0.90403,0.009406,0.009406,0.009406
11,5437.54,0.78264,0.92944,0.94233,0.69438,0.69464,0.72444,0.58003,0.68541,1.12587,0.9017,0.00934,0.00934,0.00934
12,5927.32,0.76752,0.90014,0.93531,0.68338,0.67636,0.7014,0.55799,0.67741,1.16277,0.8993,0.009274,0.009274,0.009274
13,6416.99,0.75854,0.8783,0.93523,0.71774,0.73932,0.75724,0.61072,0.67326,1.14768,0.90207,0.009208,0.009208,0.009208
14,6907.27,0.74449,0.85269,0.92803,0.73466,0.74946,0.77171,0.61069,0.67025,1.07936,0.90127,0.009142,0.009142,0.009142
15,7397.2,0.74283,0.81579,0.92627,0.73697,0.75795,0.79638,0.6334,0.66923,0.99865,0.90033,0.009076,0.009076,0.009076
16,7887.54,0.7365,0.80001,0.92395,0.74047,0.77506,0.77584,0.62204,0.65172,1.00571,0.89276,0.00901,0.00901,0.00901
17,8377.75,0.72708,0.78584,0.92053,0.80161,0.70669,0.77986,0.63243,0.64249,0.9946,0.88622,0.008944,0.008944,0.008944
18,8868.02,0.7266,0.77853,0.92158,0.78721,0.75585,0.79023,0.63276,0.64932,0.92782,0.88636,0.008878,0.008878,0.008878
19,9358.03,0.71049,0.74313,0.91621,0.81064,0.73624,0.81276,0.6514,0.6452,0.94877,0.88872,0.008812,0.008812,0.008812
20,9847.24,0.70896,0.74618,0.91257,0.79595,0.73678,0.81294,0.65221,0.6396,0.93576,0.8903,0.008746,0.008746,0.008746
21,10335.3,0.70512,0.73715,0.91115,0.79177,0.79133,0.80797,0.65088,0.6373,0.92589,0.8893,0.00868,0.00868,0.00868
22,10823.5,0.69294,0.71553,0.90985,0.78745,0.7921,0.80253,0.65431,0.63256,0.96749,0.88914,0.008614,0.008614,0.008614
23,11311.5,0.69223,0.70656,0.90752,0.7591,0.76386,0.8166,0.66307,0.6326,0.99352,0.88385,0.008548,0.008548,0.008548
