epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.703,0.88286,2.70643,0.99428,0.29078,0.45764,0.31194,0.24944,0.74789,2.24064,0.92163,0.00333257,0.00333257,0.00333257
2,1018.6,0.8466,1.46513,0.9795,0.47457,0.46112,0.39148,0.30901,0.7772,1.86474,0.93735,0.00662191,0.00662191,0.00662191
3,1519.57,0.893,1.40216,0.99527,0.46466,0.51687,0.42895,0.32187,0.8017,2.17221,0.94967,0.00986724,0.00986724,0.00986724
4,2019.49,0.92246,1.38824,1.01818,0.49864,0.48969,0.4921,0.38,0.7811,1.74372,0.9624,0.009802,0.009802,0.009802
5,2516.82,0.87808,1.22209,1.00338,0.55389,0.58607,0.55082,0.4317,0.73796,1.54237,0.95009,0.009736,0.009736,0.009736
6,3015.06,0.83535,1.13072,0.98583,0.58354,0.57639,0.57822,0.45711,0.71738,1.44306,0.95212,0.00967,0.00967,0.00967
7,3514.19,0.81713,1.02706,0.98035,0.61368,0.69037,0.68405,0.54677,0.7269,1.29834,0.94042,0.009604,0.009604,0.009604
8,4014.14,0.7947,0.99001,0.96965,0.71676,0.64532,0.69634,0.54662,0.71901,1.21181,0.92913,0.009538,0.009538,0.009538
9,4515.41,0.77379,0.94614,0.95933,0.66239,0.66986,0.68197,0.54017,0.69828,1.26476,0.92787,0.009472,0.009472,0.009472
10,5016.36,0.76532,0.90589,0.9548,0.74794,0.63096,0.74814,0.5919,0.69399,1.11155,0.92779,0.009406,0.009406,0.009406
11,5513.73,0.74399,0.86019,0.94765,0.68793,0.78135,0.78697,0.62469,0.67241,1.16188,0.91068,0.00934,0.00934,0.00934
12,6008.94,0.73796,0.82363,0.94377,0.71149,0.7337,0.7636,0.59692,0.68822,1.25306,0.91911,0.009274,0.009274,0.009274
13,6507.09,0.72758,0.80496,0.94157,0.67016,0.76198,0.75389,0.60819,0.65971,1.0773,0.92227,0.009208,0.009208,0.009208
14,7004.95,0.71724,0.7874,0.93847,0.77182,0.70952,0.77849,0.62117,0.67134,0.99199,0.91868,0.009142,0.009142,0.009142
15,7502.97,0.71045,0.76782,0.93301,0.77525,0.76375,0.78403,0.63344,0.66033,1.03516,0.91039,0.009076,0.009076,0.009076
16,8001.04,0.70532,0.75063,0.93179,0.75215,0.76534,0.80315,0.6364,0.66338,1.04064,0.91298,0.00901,0.00901,0.00901
17,8498.8,0.6943,0.72746,0.92608,0.75157,0.77843,0.82395,0.65813,0.64442,0.9722,0.90975,0.008944,0.008944,0.008944
18,8996.62,0.68532,0.71658,0.92308,0.77637,0.76965,0.82642,0.66983,0.64544,1.03237,0.91235,0.008878,0.008878,0.008878
19,9494.51,0.6857,0.71356,0.9246,0.72596,0.79688,0.81924,0.66069,0.64728,1.01527,0.91201,0.008812,0.008812,0.008812
20,9992.25,0.68046,0.69958,0.9217,0.77369,0.79911,0.83772,0.67452,0.63855,0.95158,0.8998,0.008746,0.008746,0.008746
21,10490.1,0.67583,0.69098,0.91787,0.76596,0.79566,0.83478,0.67958,0.63621,1.03896,0.90202,0.00868,0.00868,0.00868
22,10988.3,0.66798,0.66596,0.9159,0.85145,0.75054,0.83418,0.67748,0.63119,0.98839,0.89538,0.008614,0.008614,0.008614
23,11486.3,0.66923,0.6576,0.91359,0.83566,0.7658,0.85222,0.69319,0.63109,0.92438,0.89839,0.008548,0.008548,0.008548
24,11984.7,0.66637,0.65625,0.91437,0.76162,0.83581,0.83238,0.66988,0.63835,1.05268,0.90254,0.008482,0.008482,0.008482
25,12482.6,0.65271,0.64783,0.90648,0.80892,0.79962,0.84848,0.69325,0.62704,1.05955,0.89497,0.008416,0.008416,0.008416
26,12980.6,0.65742,0.64058,0.90979,0.82241,0.75199,0.83393,0.6801,0.61978,0.95918,0.89301,0.00835,0.00835,0.00835
27,13478.8,0.65002,0.62249,0.90458,0.75623,0.82112,0.84516,0.69215,0.62211,0.91789,0.88285,0.008284,0.008284,0.008284
28,13977.1,0.64893,0.62613,0.90462,0.76957,0.83033,0.84794,0.68916,0.61907,1.01609,0.8877,0.008218,0.008218,0.008218
29,14475.2,0.64635,0.61146,0.90234,0.83141,0.77091,0.86155,0.7023,0.61528,0.97126,0.88569,0.008152,0.008152,0.008152
30,14974.1,0.64453,0.60384,0.90254,0.77456,0.84269,0.84592,0.68734,0.60762,1.00348,0.8843,0.008086,0.008086,0.008086
31,15473.5,0.63952,0.60878,0.90073,0.81925,0.80636,0.84619,0.69006,0.61085,1.03805,0.88769,0.00802,0.00802,0.00802
32,15971.7,0.63598,0.60181,0.8987,0.82425,0.77322,0.84521,0.69154,0.61057,0.9849,0.88136,0.007954,0.007954,0.007954
