epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.619,1.09353,2.43648,1.03524,0.49987,0.51672,0.4438,0.34826,0.7639,1.4272,0.89984,0.00333063,0.00333063,0.00333063
2,496.363,1.03581,1.67483,0.98825,0.43294,0.56215,0.45736,0.35936,0.78175,1.18522,0.90785,0.00656972,0.00656972,0.00656972
3,716.946,1.0552,1.47291,1.00364,0.45281,0.54594,0.47104,0.36359,0.80152,1.21743,0.93155,0.00971452,0.00971452,0.00971452
4,1003.11,1.04352,1.39124,1.00622,0.45396,0.57217,0.45835,0.35834,0.76429,1.11809,0.92419,0.00957571,0.00957571,0.00957571
5,1240.83,0.99223,1.31249,0.98902,0.46811,0.57415,0.4909,0.38749,0.74092,1.06128,0.91624,0.00943429,0.00943429,0.00943429
6,1487.57,0.97418,1.26665,0.97948,0.48045,0.58951,0.50719,0.40597,0.71353,1.04511,0.89821,0.00929286,0.00929286,0.00929286
