epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9334.99,0.65419,0.8927,0.88374,0.44988,0.7542,0.58836,0.47802,0.58898,0.82191,0.85136,0.00420143,0.00420143,0.00420143
43,9556.2,0.65375,0.89143,0.88351,0.45185,0.75032,0.589,0.47842,0.58793,0.82008,0.85084,0.00406,0.00406,0.00406
44,9777.18,0.64747,0.8789,0.88084,0.45374,0.75042,0.58885,0.47905,0.58732,0.81946,0.8508,0.00391857,0.00391857,0.00391857
45,9997.73,0.65059,0.88183,0.88054,0.45494,0.75285,0.58943,0.47979,0.58599,0.81752,0.8505,0.00377714,0.00377714,0.00377714
46,10218.3,0.6456,0.87505,0.87924,0.45559,0.75234,0.59017,0.48031,0.58455,0.81668,0.85006,0.00363571,0.00363571,0.00363571
47,10439.1,0.64517,0.87965,0.87829,0.45668,0.7513,0.59114,0.48147,0.58363,0.81575,0.8498,0.00349429,0.00349429,0.00349429
48,10660.6,0.64176,0.87515,0.87868,0.45635,0.75388,0.59221,0.4821,0.5826,0.81462,0.84953,0.00335286,0.00335286,0.00335286
49,10881.7,0.64015,0.86636,0.88025,0.45572,0.75424,0.59273,0.48208,0.58206,0.81332,0.84935,0.00321143,0.00321143,0.00321143
50,11103.6,0.63375,0.8674,0.87468,0.45671,0.75524,0.59317,0.48284,0.58111,0.81213,0.84912,0.00307,0.00307,0.00307
51,11325,0.63648,0.86067,0.8771,0.45619,0.75854,0.59356,0.48346,0.58023,0.81126,0.84896,0.00292857,0.00292857,0.00292857
52,11546,0.63131,0.86408,0.87592,0.45798,0.75659,0.59358,0.48367,0.57983,0.81028,0.8487,0.00278714,0.00278714,0.00278714
53,11766.9,0.63003,0.85484,0.87462,0.459,0.75567,0.59381,0.48399,0.57927,0.80947,0.84845,0.00264571,0.00264571,0.00264571
54,11987.9,0.62704,0.85527,0.87318,0.45875,0.75751,0.59428,0.48413,0.57861,0.80865,0.84825,0.00250429,0.00250429,0.00250429
55,12209.1,0.62673,0.85396,0.87428,0.46042,0.75758,0.5953,0.48483,0.57792,0.80762,0.84793,0.00236286,0.00236286,0.00236286
56,12430.7,0.62328,0.84209,0.87304,0.461,0.75687,0.59592,0.48566,0.57746,0.80696,0.84782,0.00222143,0.00222143,0.00222143
57,12651.5,0.62016,0.84571,0.87207,0.46161,0.75701,0.59621,0.48581,0.57681,0.8063,0.84766,0.00208,0.00208,0.00208
58,12872.2,0.61793,0.84262,0.86954,0.46092,0.75863,0.59643,0.48629,0.57643,0.80547,0.84745,0.00193857,0.00193857,0.00193857
59,13093.1,0.61541,0.84129,0.87086,0.45867,0.76012,0.59636,0.48626,0.57595,0.80481,0.84724,0.00179714,0.00179714,0.00179714
60,13314.2,0.61548,0.84238,0.87219,0.458,0.76109,0.59627,0.48647,0.5757,0.804,0.84707,0.00165571,0.00165571,0.00165571
61,13578.9,0.58926,0.80438,0.8593,0.45647,0.76412,0.59588,0.48683,0.57536,0.80343,0.84695,0.00151429,0.00151429,0.00151429
62,13797.2,0.58836,0.7984,0.8576,0.45729,0.76394,0.59628,0.48752,0.57455,0.80245,0.84675,0.00137286,0.00137286,0.00137286
63,14015.4,0.5829,0.79315,0.85579,0.45725,0.76418,0.59651,0.48785,0.57385,0.80184,0.84653,0.00123143,0.00123143,0.00123143
64,14234,0.58074,0.791,0.85362,0.45702,0.76383,0.59716,0.48846,0.57329,0.80126,0.84631,0.00109,0.00109,0.00109
65,14451.7,0.57859,0.78939,0.85294,0.45693,0.76477,0.59745,0.48878,0.57272,0.8008,0.84617,0.000948571,0.000948571,0.000948571
66,14669.7,0.57504,0.78663,0.85304,0.45777,0.76491,0.59782,0.48901,0.57193,0.80029,0.84585,0.000807143,0.000807143,0.000807143
67,14888,0.57403,0.78438,0.85379,0.4588,0.76453,0.59895,0.48957,0.57154,0.79919,0.84571,0.000665714,0.000665714,0.000665714
68,15105.4,0.57047,0.78456,0.85062,0.45607,0.76866,0.59849,0.49009,0.57105,0.79859,0.8455,0.000524286,0.000524286,0.000524286
69,15323.2,0.56822,0.78028,0.8503,0.45736,0.76832,0.59846,0.49018,0.57059,0.79827,0.84533,0.000382857,0.000382857,0.000382857
70,15541.1,0.56704,0.77533,0.85014,0.46065,0.76685,0.59977,0.49043,0.57008,0.79753,0.8451,0.000241429,0.000241429,0.000241429
