epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5867.83,1.34041,1.0638,1.11157,0.8779,0.80496,0.89172,0.64042,1.19703,0.86255,1.11913,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6049.69,1.34087,1.08184,1.11929,0.8692,0.81946,0.88449,0.63641,1.19607,0.85129,1.11798,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6231.8,1.32559,1.0659,1.11072,0.89159,0.81833,0.88276,0.64025,1.19026,0.84475,1.11629,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6414.17,1.3298,1.05188,1.11236,0.88304,0.83184,0.88801,0.64742,1.18394,0.83663,1.11467,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6596.93,1.3283,1.04389,1.11511,0.88958,0.82392,0.89099,0.6496,1.18098,0.83123,1.11203,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6780.09,1.31903,1.04011,1.10159,0.89427,0.83481,0.88859,0.64418,1.18077,0.8267,1.1113,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6963.99,1.32984,1.03584,1.09902,0.89151,0.83873,0.89203,0.64819,1.17148,0.82166,1.10687,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7147.44,1.29263,1.00331,1.09797,0.88478,0.84157,0.89158,0.65042,1.17158,0.81742,1.10667,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7329.48,1.32897,1.02939,1.09787,0.90713,0.82197,0.90024,0.65673,1.1682,0.81526,1.10162,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7507.59,1.26232,0.94052,1.11124,0.89476,0.83616,0.89659,0.65642,1.16658,0.80875,1.10212,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7684.24,1.25163,0.9267,1.10275,0.90112,0.84196,0.90025,0.6603,1.15975,0.80598,1.09893,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7860.8,1.24923,0.9205,1.10402,0.8959,0.83891,0.89889,0.65982,1.15853,0.80248,1.09696,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8038.34,1.24013,0.90539,1.09722,0.89334,0.84798,0.89763,0.66239,1.15182,0.79583,1.09247,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8214.32,1.21767,0.88361,1.08601,0.8987,0.84713,0.8978,0.66056,1.15123,0.79088,1.09167,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8390.64,1.2234,0.88434,1.08869,0.90074,0.84347,0.8993,0.66345,1.15043,0.78779,1.09134,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8567.67,1.20633,0.86522,1.08319,0.90196,0.849,0.89873,0.66326,1.14918,0.78497,1.09068,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8744.62,1.20476,0.86166,1.07878,0.89899,0.85379,0.89934,0.66556,1.1452,0.78167,1.08858,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8919.36,1.20557,0.86342,1.08194,0.89541,0.85418,0.89933,0.66278,1.14446,0.78052,1.08792,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9092.58,1.21044,0.8639,1.07593,0.90079,0.85038,0.90127,0.66495,1.14341,0.77896,1.08719,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
