epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.997,0.94354,3.6998,0.95436,0.41164,0.24107,0.14361,0.1161,0.75202,1.92733,0.9131,0.00333027,0.00333027,0.00333027
2,485.389,0.90415,2.45173,0.95751,0.48327,0.29989,0.2639,0.20884,0.78765,1.75452,0.93901,0.00660863,0.00660863,0.00660863
3,723.953,0.92166,2.01241,0.97544,0.57524,0.30158,0.29432,0.22913,0.83691,1.9861,0.97752,0.00983199,0.00983199,0.00983199
4,961.937,0.92387,1.63107,0.98518,0.50872,0.44622,0.44162,0.34919,0.76317,1.40357,0.95623,0.0097525,0.0097525,0.0097525
