epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6189.1,1.39953,1.15009,1.13628,0.85862,0.77853,0.85503,0.61109,1.21892,0.92038,1.12856,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058,0.0126174,0.0042058
31,6391.33,1.37714,1.12695,1.1306,0.86954,0.78462,0.85728,0.61858,1.21243,0.91462,1.12453,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006
32,6591.38,1.3524,1.10386,1.11774,0.87875,0.79479,0.86579,0.62487,1.20772,0.8941,1.12505,0.0114186,0.0038062,0.0114186,0.0038062,0.0114186,0.0038062,0.0114186,0.0038062
33,6792.31,1.35638,1.11648,1.12643,0.89909,0.77432,0.86609,0.62829,1.20315,0.89719,1.12032,0.0108192,0.0036064,0.0108192,0.0036064,0.0108192,0.0036064,0.0108192,0.0036064
34,6992.96,1.34512,1.09851,1.11934,0.89499,0.78056,0.86119,0.6263,1.20412,0.88469,1.12105,0.0102198,0.0034066,0.0102198,0.0034066,0.0102198,0.0034066,0.0102198,0.0034066
35,7196.91,1.34619,1.08658,1.11844,0.88447,0.80506,0.87085,0.63241,1.19348,0.8776,1.11466,0.0096204,0.0032068,0.0096204,0.0032068,0.0096204,0.0032068,0.0096204,0.0032068
36,7409.31,1.34475,1.07972,1.11777,0.88389,0.80761,0.87279,0.62926,1.18755,0.86834,1.10998,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007
37,7621.75,1.3362,1.06793,1.10837,0.88722,0.80494,0.87519,0.63644,1.18775,0.85747,1.11012,0.0084216,0.0028072,0.0084216,0.0028072,0.0084216,0.0028072,0.0084216,0.0028072
38,7834.12,1.34502,1.05968,1.10306,0.89396,0.81021,0.87882,0.63983,1.18243,0.85199,1.1053,0.0078222,0.0026074,0.0078222,0.0026074,0.0078222,0.0026074,0.0078222,0.0026074
39,8057.32,1.31166,1.03217,1.10192,0.89141,0.81383,0.87784,0.64001,1.17841,0.84592,1.10556,0.0072228,0.0024076,0.0072228,0.0024076,0.0072228,0.0024076,0.0072228,0.0024076
40,8272.76,1.34165,1.05878,1.10348,0.88989,0.81605,0.88703,0.64799,1.17628,0.84396,1.10038,0.0066234,0.0022078,0.0066234,0.0022078,0.0066234,0.0022078,0.0066234,0.0022078
41,8482.53,1.27422,0.9678,1.11044,0.90475,0.82043,0.88781,0.65153,1.16843,0.83164,1.09633,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008
42,8690.23,1.26606,0.94906,1.10764,0.90087,0.82453,0.88774,0.65494,1.16351,0.8304,1.09434,0.0054246,0.0018082,0.0054246,0.0018082,0.0054246,0.0018082,0.0054246,0.0018082
43,8897.56,1.25557,0.93355,1.10677,0.8982,0.83022,0.88723,0.65517,1.15931,0.82447,1.09108,0.0048252,0.0016084,0.0048252,0.0016084,0.0048252,0.0016084,0.0048252,0.0016084
44,9103.05,1.24941,0.9228,1.10093,0.89464,0.83734,0.89176,0.65953,1.15505,0.81884,1.08915,0.0042258,0.0014086,0.0042258,0.0014086,0.0042258,0.0014086,0.0042258,0.0014086
45,9305.22,1.22498,0.90047,1.0892,0.90202,0.83431,0.89219,0.66169,1.14977,0.80856,1.0856,0.0036264,0.0012088,0.0036264,0.0012088,0.0036264,0.0012088,0.0036264,0.0012088
46,9507.64,1.23367,0.8976,1.09015,0.9062,0.83638,0.89277,0.66173,1.14862,0.80525,1.08349,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009
47,9709.58,1.2119,0.88144,1.08341,0.90068,0.84286,0.8972,0.66487,1.14588,0.80068,1.08168,0.0024276,0.0008092,0.0024276,0.0008092,0.0024276,0.0008092,0.0024276,0.0008092
48,9910.13,1.21248,0.87531,1.08101,0.90472,0.83702,0.89573,0.66493,1.14364,0.79712,1.08021,0.0018282,0.0006094,0.0018282,0.0006094,0.0018282,0.0006094,0.0018282,0.0006094
49,10110,1.20935,0.87852,1.08435,0.90011,0.84326,0.8962,0.66518,1.14304,0.79516,1.07896,0.0012288,0.0004096,0.0012288,0.0004096,0.0012288,0.0004096,0.0012288,0.0004096
50,10309.9,1.21747,0.875,1.07847,0.90401,0.83734,0.89536,0.66602,1.14296,0.79299,1.07909,0.0006294,0.0002098,0.0006294,0.0002098,0.0006294,0.0002098,0.0006294,0.0002098
